Name,Gender,Movies,Picture
Jean-Paul Rappeneau,Male,1,/qkSwIu4p6OnQwReNYjBQgOEqfY0.jpg
Jack Hill ,Male,6,/yTwURbDoPgVsbpByaz01mFrrbVu.jpg
Manuel Gómez Pereira,Female,1,/bLLbJiuEdSqfOi9Ia2TQPjzshAZ.jpg
Jean-Marie Poiré,Male,1,/nOyQke4gCSjeOFqwZItZyI8vduO.jpg
John Schlesinger,Male,8,/vFCJ4RxvHysxeiwcFsiSGg7Tgre.jpg
Phil Joanou,Male,4,/5snXDgDV7xU0uX6ZbXiAxSXHbmI.jpg
Larry Cohen,Male,4,/jB85d7bfXoIWW2nKxMe7fQJQ7rC.jpg
Maurice Pialat,Male,1,/dMLj72H8a2cFeEffcmTs7ltaxWF.jpg
Mamoru Oshii,Male,3,/2MXFEwxLu7gT9vvi5Otx4LQgsvZ.jpg
Tom Holland,Male,5,/yYNJTyRwKoUT27Dp9fIO9rWwO3s.jpg
Udayan Prasad,Male,2,/rlZmPbmrDdkrIT5HPjlb9qiZvVV.jpg
Nick Park,Male,5,/wWqFv6e3FnX3Gw1IRYvbmZbPmB8.jpg
David Twohy,Female,3,/7hJbNy5XKO5je9FsSGvl4QbGyMM.jpg
Robert Z. Leonard,Female,3,/w6wkz4NRYhhOTWqVjXvoHAWj6yQ.jpg
Guy Maddin,Male,4,/foMrtxtTnBCDZz5fs2QbU5TUt6l.jpg
Andrew Bergman,Female,5,/gTx35MhqW8MlGv7JlYnCJQClebi.jpg
James Mangold,Male,4,/1gt0VmCyBHhQLKhaBDCEIwvRWe.jpg
Francis Ford Coppola,Male,6,/vEGwqahu7UlI6OwELy92xbXk9Kd.jpg
Mary Harron,Female,1,/qlWi0kufzB7lCq6Jz5zuNE3Kk1V.jpg
Charles Matthau,Female,1,/sAbN9pMTTsppMcSTiuKLuJ0xnix.jpg
María Luisa Bemberg,Female,1,/i6SBI5OOBnpBAEG8yd7fRqYDlsX.jpg
Lucian Pintilie,Male,1,/7fkrAOUYQdgBf2GdXEHuUkRoVVz.jpg
Gazdag Gyula,Male,1,/meG91qaugrEyBB1JBvwXuOOyWRg.jpg
Christopher Larkin,Male,1,/NCVdb6Sks0nyVvDtt7ilh93qB4.jpg
Rob Cohen,Male,2,/sTJEVeYeaAnCzQ92AmNvveSWwWL.jpg
Bronwen Hughes,Female,3,/eOCUyOpDGsliiWA3c5qc2CGS5he.jpg
Jon Turteltaub,Male,2,/borF48XTUkOCKE3ryh3BFxe4Unr.jpg
Éric Rohmer,Male,10,/4VUnQk2yA6m58uak9LguIAzZ8Re.jpg
Kevin Hooks,Male,3,/xqzV7byaH95GSvR86JjGzHceIY4.jpg
Ildikó Enyedi,Female,1,/80Y112UZ5m8nBnYVUs1l8q0FZoI.jpg
Howard Franklin,Female,2,/fio3AI3ApZYclhP59vf8tMZNooC.jpg
Nicolas Roeg,Male,9,/m1f5AHFoKMabMBKEpllcm0MhbMz.jpg
Maurizio Nichetti,Male,1,/p7wxQRuXTJYEiAq059W0jCbqN0f.jpg
